1417, 1402, 1451, 1643
1417, 1254, 1402, 1451
1417, 1497, 1643, 1451
1417, 1254, 1451, 1497
1497, 1643, 1451, 1709
1254, 1066, 1497, 1451
1451, 1643, 1709, 1760
687, 698, 854, 979
687, 854, 979, 1048
687, 698, 789, 854
687, 789, 854, 1048
1524, 1692, 1554, 1581
1594, 1554, 1670, 1692
1554, 1581, 1670, 1692
391, 358, 97, 326
391, 358, 97, 399
391, 358, 326, 399
399, 109, 358, 97
669, 1066, 1103, 1194
1257, 1524, 1269, 1390
1178, 1231, 1271, 1372
1231, 1271, 1372, 1595
1178, 1048, 1231, 1271
1231, 1271, 1537, 1595
1231, 1048, 1271, 1537
449, 152, 182, 497
449, 182, 497, 596
182, 152, 160, 177
594, 714, 836, 887
967, 983, 1032, 1198
967, 1043, 983, 1032
967, 1043, 723, 1032
369, 201, 219, 422
422, 201, 219, 231
422, 201, 229, 231
1257, 1142, 1376, 1390
1257, 983, 1142, 1376
1142, 983, 1198, 1376
1257, 1269, 1376, 1390
413, 219, 248, 386
413, 248, 355, 386
413, 355, 386, 588
386, 219, 244, 248
386, 244, 248, 262
386, 244, 250, 262
369, 199, 359, 195
369, 195, 201, 359
359, 177, 195, 201
1390, 1524, 1545, 1581
1390, 1269, 1524, 1545
1390, 1269, 1376, 1545
526, 559, 647, 827
526, 559, 719, 827
526, 326, 559, 647
526, 326, 559, 719
647, 326, 399, 559
326, 358, 399, 559
1372, 1061, 1101, 1226
719, 326, 613, 742
326, 613, 673, 742
719, 326, 559, 613
386, 366, 219, 244
386, 366, 244, 250
366, 219, 244, 250
1216, 1532, 1022, 1513
1216, 1532, 1491, 1513
1216, 1532, 1022, 1491
1491, 1416, 1513, 1532
1491, 1532, 1721, 1416
1256, 1238, 1284, 1534
1256, 1284, 1534, 1590
1523, 1645, 1407, 1707
1407, 1645, 1689, 1887
1407, 1645, 1707, 1887
1407, 1689, 1795, 1887
940, 1082, 824, 1048
1101, 1082, 824, 1226
1101, 1082, 740, 824
1101, 740, 1226, 1082
967, 596, 661, 723
596, 368, 661, 723
596, 368, 497, 661
967, 661, 723, 1032
1535, 1370, 1633, 1642
1224, 1048, 1177, 1370
1224, 1048, 1370, 1535
1224, 1370, 1530, 1535
1535, 1370, 1530, 1642
1224, 1177, 1370, 1419
1224, 1370, 1419, 1530
473, 46, 69, 88
473, 69, 88, 89
1403, 1181, 1219, 1260
647, 399, 559, 697
647, 559, 697, 888
369, 201, 422, 491
369, 201, 359, 491
1177, 1048, 1345, 1370
1177, 1345, 1370, 1419
1530, 1345, 1370, 1419
1557, 1522, 1707, 1836
1394, 1522, 1544, 1691
1394, 1522, 1557, 1691
1557, 1522, 1691, 1836
1691, 1522, 1544, 1836
1394, 1429, 1522, 1557
1557, 1522, 1523, 1707
1523, 1645, 1522, 1707
1557, 1279, 1429, 1522
1557, 1279, 1522, 1523
1523, 1407, 1522, 1645
1522, 1544, 1645, 1836
1522, 1645, 1707, 1836
1022, 1301, 1491, 1532
1227, 1432, 1682, 1699
1682, 1432, 1699, 1712
1227, 963, 1219, 1432
963, 1116, 1432, 1219
1227, 1432, 1592, 1682
1682, 1432, 1592, 1712
1432, 1858, 1699, 1712
1372, 1439, 1595, 1622
1622, 1439, 1595, 1749
1372, 1271, 1439, 1595
1372, 1226, 1271, 1439
1257, 1253, 1376, 983
326, 445, 613, 673
830, 857, 1010, 1039
